File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,CMFCSingleDocVehiclesDoc::CMFCSingleDocVehiclesDoc(),3,1,1,0,1,0,1,6,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,CMFCSingleDocVehiclesDoc::~CMFCSingleDocVehiclesDoc(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,CMFCSingleDocVehiclesDoc::OnNewDocument(),19,13,10,4,4,0,2,11,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,CMFCSingleDocVehiclesDoc::Serialize(CArchive& ar),50,18,12,2,5,0,27,56,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,"CMFCSingleDocVehiclesDoc::OnDrawThumbnail(CDC& dc, LPRECT lprcBounds)",17,12,12,0,4,0,1,8,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,CMFCSingleDocVehiclesDoc::InitializeSearchContent(),7,3,3,0,1,0,3,20,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,CMFCSingleDocVehiclesDoc::SetSearchContent(const CString& value),15,15,9,2,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,CMFCSingleDocVehiclesDoc::AssertValid() const,2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,CMFCSingleDocVehiclesDoc::Dump(CDumpContext& dc) const,2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,"CMFCSingleDocVehiclesDoc::AddVehicleToSerialList(CString id, CString name, CString maxFuelCapacity, CString fuelUsage, CString fuelRemaining, CString drivenDistance)",2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,CMFCSingleDocVehiclesDoc::DeleteVehicleWithId(long id),2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,"CMFCSingleDocVehiclesDoc::EditVehicleWithId(long id, CString name, CString maxFuelCapacity, CString fuelUsage, CString fuelRemaining, CString drivenDistance, CString power, CString serviceInterval)",2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,CMFCSingleDocVehiclesDoc::OnToolsAddvehicle(),27,21,19,2,4,0,2,12,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,CMFCSingleDocVehiclesView::CMFCSingleDocVehiclesView(),3,1,1,0,1,0,1,5,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,CMFCSingleDocVehiclesView::~CMFCSingleDocVehiclesView(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,CMFCSingleDocVehiclesView::PreCreateWindow(CREATESTRUCT& cs),5,2,2,1,1,0,2,13,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,CMFCSingleDocVehiclesView::OnInitialUpdate(),49,24,24,0,8,0,17,77,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,"CMFCSingleDocVehiclesView::OnRButtonUp(UINT , CPoint point)",3,3,3,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,"CMFCSingleDocVehiclesView::OnContextMenu(CWnd* , CPoint point)",4,4,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,"CMFCSingleDocVehiclesView::OnPrint(WPARAM wp, LPARAM lp)",4,3,3,1,1,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,"CMFCSingleDocVehiclesView::ShowSelectedItemInList(CString id, CString name, CString maxFuelCapacity, CString fuelUsage, CString fuelRemaining, CString drivenDistance, CString power, CString serviceInterval, CString isServiceNeeded, CString isFuelRemaning)",15,13,13,0,1,8,1,16,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,CMFCSingleDocVehiclesView::DeleteAllItems(),2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,CMFCSingleDocVehiclesView::DeleteListView(),9,7,5,1,1,0,1,5,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,CMFCSingleDocVehiclesView::AssertValid() const,2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,CMFCSingleDocVehiclesView::Dump(CDumpContext& dc) const,2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,CMFCSingleDocVehiclesView::GetDocument() const,3,3,3,1,0,0,0,0,
